single,singleLabel,releaseDate,genreLabel,performerLabel,citizenshipLabel,youtubeID,viewCountSample,lat,lon,latlon
http://www.wikidata.org/entity/Q120147576,Il primo passo sulla luna,2023-06-16T00:00:00Z,pop music,Laura Pausini,Italy,lts-G-8CQec,1807300,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q123205376,Sport frei,2023-10-27T00:00:00Z,industrial metal,Till Lindemann,Germany,Xuv_FoAw_Bk,1800382,51,10,"51, 10"
http://www.wikidata.org/entity/Q117322617,L'infinito più o meno,2023-03-10T00:00:00Z,pop music,Nek,Italy,odOrSqZv-Xo,1700291,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q117394226,Dimmi che c'è,2023-03-17T00:00:00Z,pop rap,Tedua,Italy,uPeznfsvDW8,1693546,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q117486041,Weekends,2023-02-03T00:00:00Z,dance-pop,Jonas Blue,England,_tFljtjDp98,1664617,53,-1,"53, -1"
http://www.wikidata.org/entity/Q117966482,Mezzo mondo,2023-04-28T00:00:00Z,pop music,Emma,Italy,nE3LINzxjQ8,1614576,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q119139156,Praising You,2023-04-19T00:00:00Z,electronic music,Rita Ora,United Kingdom,_Sz7fhThrS4,1607967,54.6,-2,"54.6, -2"
http://www.wikidata.org/entity/Q116290754,Unicorn,2023-03-08T00:00:00Z,power pop,Noa Kirel,Israel,XwPEtD0_mx4,1581444,31,35,"31, 35"
http://www.wikidata.org/entity/Q125470958,Tapa,2023-12-14T00:00:00Z,pop music,Lexa,Brazil,RHrdxLJHdvE,1579782,-14,-53,"-14, -53"
http://www.wikidata.org/entity/Q123118661,Everyday,2023-10-13T00:00:00Z,hip hop music,Shiva,Italy,JvqzDvD5CSA,1554723,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q116968802,Come vuoi,2023-03-03T00:00:00Z,hip hop music,Geolier,Italy,aL0dOoLpf7M,1550528,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q124822171,Per sempre ci sarò,2023-06-09T00:00:00Z,pop music,Mr. Rain,Italy,2x6QgzRiKU4,1467731,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q120259987,Riderai,2023-04-28T00:00:00Z,rock music,Luciano Ligabue,Italy,qUIWXv_DdfY,1407114,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q118221305,The Alcott,2023-04-28T00:00:00Z,downtempo,Taylor Swift,United States of America,wCqoNu36y2o,1388748,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q117864223,Tonta,2023-04-20T00:00:00Z,pop music,Nathy Peluso,Spain,qvnX4GMxf6A,1381736,40.2,-3.5,"40.2, -3.5"
http://www.wikidata.org/entity/Q121217305,Granita,2023-05-26T00:00:00Z,pop music,LDA,Italy,-MQ1xa2TgVw,1349508,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q130265291,Non parlarmi (outro),2023-11-29T00:00:00Z,hip hop music,Massimo Pericolo,Italy,Zx7aT84vW0A,1348190,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q129232059,Roma,2023-03-17T00:00:00Z,pop rap,Il Tre,Italy,cQBTQlQk29s,1325190,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q117428110,Zonda,2023-03-31T00:00:00Z,pop rap,Lazza,Italy,9J3iG6fV5B8,1300783,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q121438400,Supposed to Be Loved,2023-01-01T00:00:00Z,hip hop music,DJ Khaled,United States of America,QNsaxi6YNjY,1298037,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q117317836,Nuvole in testa,2023-03-24T00:00:00Z,pop music,Ultimo,Italy,PPKgzLkdyNQ,1281143,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q118713139,Pazza musica,2023-05-26T00:00:00Z,pop music,Marco Mengoni,Italy,2rSqiGcNgW4,1245535,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q123594793,Occhi lucidi,2023-12-01T00:00:00Z,pop music,Ultimo,Italy,6ekr8oS28jc,1191599,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q118669936,Disco Paradise,2023-05-25T00:00:00Z,pop music,Annalisa,Italy,k7kjuh0Tq2I,1179677,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q123169270,Makai,2023-07-22T00:00:00Z,hip hop music,MV Killa,Italy,Hyum5PzXOtc,1176484,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q119997169,Bon ton,2023-06-23T00:00:00Z,hip hop music,Sfera Ebbasta,Italy,OH8Y4-d0usA,1164216,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q120142316,Car Keys (Ayla),2023-06-30T00:00:00Z,electronic music,Ava Max,United States of America,ah8W-mx_Q-g,1061957,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q129263717,A squarciagola,2023-11-03T00:00:00Z,pop music,Olly,Italy,NghXt2rRlX8,1052658,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q118837131,Altamente mia,2023-04-07T00:00:00Z,pop music,Bresh,Italy,ItRvp5sg-0Q,1042950,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q119267879,La discoteca italiana,2023-06-09T00:00:00Z,pop music,Orietta Berti,Italy,gIj6N8R05dc,1024756,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q127500701,10 Out of 10,2023-04-05T00:00:00Z,house music,Kylie Minogue,United Kingdom,2C2H-KqnNyc,1005790,54.6,-2,"54.6, -2"
http://www.wikidata.org/entity/Q120548810,Bellu guaglione,2023-05-19T00:00:00Z,pop music,Rosa Chemical,Italy,9YfQXsAyoNE,1004374,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q120985048,Choose Your Fighter,2023-07-28T00:00:00Z,Eurodance,Ava Max,United States of America,PzNLMmAOlEU,991775,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q125910907,M.I.A,2023-04-14T00:00:00Z,dance-pop,Benny Benassi,Italy,eWI_1P0iPtw,989281,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q126974873,A cena con gli dei,2023-12-29T00:00:00Z,pop music,Biagio Antonacci,Italy,Mi17Y2lPbf4,982286,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q123369676,Mon amour,2023-11-08T00:00:00Z,chanson,Slimane,France,niaeTRN-NDs,981292,47,2,"47, 2"
http://www.wikidata.org/entity/Q123759379,Milano,2023-09-29T00:00:00Z,hip hop music,Bia,United States of America,wg3DL7lxydU,969738,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q118581486,Mi hai capito o no?,2023-03-31T00:00:00Z,hip hop music,Guè,Italy,dvv_ZX4a_x4,965387,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q129263666,Tutto con te,2023-06-09T00:00:00Z,pop music,Olly,Italy,B5TOFbua9BY,949841,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q120091122,Me vogl bene,2023-04-21T00:00:00Z,hip hop music,Geolier,Italy,7OYsmY-KS5s,932468,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q129230143,Sincer,2023-05-05T00:00:00Z,reggaeton,Lele Blade,Italy,-Hngp-u7EtA,924963,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q120756891,Pendolari,2023-01-13T00:00:00Z,pop music,Shade,Italy,XJ-sPIfxBU8,920528,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q119477574,Per sempre mai,2023-05-26T00:00:00Z,pop rap,Shade,Italy,CePiNnUwYVw,918935,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q118234909,Energy,2023-03-24T00:00:00Z,hip hop music,Anna,Italy,2RSsRfcU7Ac,911450,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q116448104,Brrr (song),2023-01-20T00:00:00Z,hyperpop,Kim Petras,Germany,Zi7yD4Qae_M,897107,51,10,"51, 10"
http://www.wikidata.org/entity/Q121092205,Paradise,2023-06-16T00:00:00Z,disco,Purple Disco Machine,Germany,Z_pqhk1DrqY,848274,51,10,"51, 10"
http://www.wikidata.org/entity/Q117349398,Mon amour,2023-03-31T00:00:00Z,dance-pop,Annalisa,Italy,RzyD08-w-tk,846736,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q123470238,Anche stasera,2023-11-17T00:00:00Z,hip hop music,Elodie,Italy,kOdgi9A-AJ4,832454,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q116180086,No Business on the Dancefloor,2023-01-12T00:00:00Z,pop music,Keira Lundström,Finland,VN-DxsFrOYg,811544,65,27,"65, 27"
http://www.wikidata.org/entity/Q126195989,Big Bang (Upside Down),2023-05-19T00:00:00Z,pop music,Emis Killa,Italy,8XJSPjZeUc0,797294,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q127195250,Mani vuote,2023-03-13T00:00:00Z,pop music,Angelina Mango,Italy,NhSQ57F0YaY,787635,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q119402247,Aranciata,2023-06-08T00:00:00Z,pop music,Madame,Italy,vjS1l1NFCkA,777122,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q121087582,Voglia di vivere,2023-01-09T00:00:00Z,pop music,Angelina Mango,Italy,mjPGyLx6bYI,772004,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q120668835,Lunatica,2023-03-10T00:00:00Z,pop music,Shade,Italy,IBp2MeqGN5o,748534,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q120501388,Adrenalina,2023-03-31T00:00:00Z,hip hop music,Fred De Palma,Italy,vyTiZYkawCs,747748,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q120478688,Melodia criminal,2023-07-07T00:00:00Z,bachata,Ana Mena,Spain,8-KRdfSl7_I,744693,40.2,-3.5,"40.2, -3.5"
http://www.wikidata.org/entity/Q123593113,Amore cane,2023-12-01T00:00:00Z,pop music,Emma,Italy,QKTKMmLwN_U,676166,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q122839793,Una canzone senza tempo,2023-08-25T00:00:00Z,rock music,Luciano Ligabue,Italy,6kL6u7KN1Ho,661797,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q122607150,Other Boys,2023-09-08T00:00:00Z,pop music,Dove Cameron,United States of America,duDrXMiYmv4,657635,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q122761493,A fari spenti,2023-09-22T00:00:00Z,pop music,Elodie,Italy,nHCsuf1TVOY,648489,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q116694992,Polvere,2023-02-08T00:00:00Z,electronic dance music,Olly,Italy,6jFvKmxxIxM,629646,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q123164492,Un milione di notti,2023-10-20T00:00:00Z,pop music,Mr. Rain,Italy,qhNMOhYRqPc,622457,42.5,12.5,"42.5, 12.5"
